+0.000000000	+0.470535553
+0.005000000	+0.481196503
+0.010000000	+0.479419678
+0.015000000	+0.480711914
+0.020000000	+0.480550385
+0.025000000	+0.477965912
+0.030000000	+0.475704498
+0.035000000	+0.482488739
+0.040000000	+0.480550385
+0.045000000	+0.478450500
+0.050000000	+0.478612030
+0.055000000	+0.480065796
+0.060000000	+0.481842621
+0.065000000	+0.479581207
+0.070000000	+0.486203918
+0.075000000	+0.484265564
+0.080000000	+0.484588623
+0.085000000	+0.483296387
+0.090000000	+0.484104034
+0.095000000	+0.482488739
+0.100000000	+0.481034973
+0.105000000	+0.481681091
+0.110000000	+0.478935089
+0.115000000	+0.478935089
+0.120000000	+0.477158264
+0.125000000	+0.476835205
+0.130000000	+0.477965912
+0.135000000	+0.476027557
+0.140000000	+0.481196503
+0.145000000	+0.475704498
+0.150000000	+0.482488739
+0.155000000	+0.478935089
+0.160000000	+0.478773560
+0.165000000	+0.479742737
+0.170000000	+0.482004150
+0.175000000	+0.480388855
+0.180000000	+0.480711914
+0.185000000	+0.481196503
+0.190000000	+0.482488739
+0.195000000	+0.485880859
+0.200000000	+0.485880859
+0.205000000	+0.487657684
+0.210000000	+0.487173096
+0.215000000	+0.485073212
+0.220000000	+0.486688507
+0.225000000	+0.484911682
+0.230000000	+0.484588623
+0.235000000	+0.482488739
+0.240000000	+0.479581207
+0.245000000	+0.482650269
+0.250000000	+0.486042389
+0.255000000	+0.482165680
+0.260000000	+0.480388855
+0.265000000	+0.480227325
+0.270000000	+0.477319794
+0.275000000	+0.476673676
+0.280000000	+0.484750153
+0.285000000	+0.483457916
+0.290000000	+0.480388855
+0.295000000	+0.486526978
+0.300000000	+0.489272980
+0.305000000	+0.489111450
+0.310000000	+0.488788391
+0.315000000	+0.487819214
+0.320000000	+0.487980743
+0.325000000	+0.493634277
+0.330000000	+0.487657684
+0.335000000	+0.489434509
+0.340000000	+0.485396271
+0.345000000	+0.484911682
+0.350000000	+0.489919098
+0.355000000	+0.481681091
+0.360000000	+0.487011566
+0.365000000	+0.485719330
+0.370000000	+0.485073212
+0.375000000	+0.486850037
+0.380000000	+0.483780975
+0.385000000	+0.487173096
+0.390000000	+0.483296387
+0.395000000	+0.482004150
+0.400000000	+0.485234741
+0.405000000	+0.481034973
+0.410000000	+0.479904266
+0.415000000	+0.478935089
+0.420000000	+0.479904266
+0.425000000	+0.478288971
+0.430000000	+0.479096619
+0.435000000	+0.478127441
+0.440000000	+0.478127441
+0.445000000	+0.480227325
+0.450000000	+0.478450500
+0.455000000	+0.477642853
+0.460000000	+0.475542969
+0.465000000	+0.482327209
+0.470000000	+0.478127441
+0.475000000	+0.476835205
+0.480000000	+0.483457916
